municipality,type,iata_code,latitude_deg,longitude_deg,iso_country
Bensalem,heliport,,40.07080078125,-74.93360137939453,US
Leoti,small_airport,,38.704022,-101.473911,US
Anchor Point,small_airport,,59.947733,-151.692524,US
Harvest,small_airport,,34.86479949951172,-86.77030181884766,US
Newport,closed,,35.6087,-91.254898,US
Alex,small_airport,,34.9428028,-97.8180194,US
Cordes,small_airport,,34.305599212646484,-112.16500091552734,US
Barstow,small_airport,,35.35474,-116.885329,US
Biggs,small_airport,,39.427188,-121.763427,US
Pine Valley,heliport,,32.7273736,-116.4597417,US
Briggsdale,closed,,40.622202,-104.344002,US
Bushnell,small_airport,,28.64550018310547,-82.21900177001953,US
Riverview,closed,,28.8466,-82.345398,US
Okeechobee,small_airport,,27.230899810791016,-80.96920013427734,US
Lithonia,small_airport,,33.76750183105469,-84.06829833984375,US
Hiram,heliport,,33.887982,-84.736983,US
Kailua-Kona,heliport,,19.832881,-155.978347,US
Clark Fork,small_airport,,48.145301818847656,-116.21399688720703,US
McDonald,small_airport,,39.724028,-101.395994,US
Chesterton,closed,,41.644501,-87.122803,US
Polo,small_airport,,41.978401,-89.560402,US
Hobart,heliport,,41.51139831542969,-87.2605972290039,US
Kings,small_airport,,40.02560043334961,-89.1229019165039,US
Gardner,small_airport,,38.72779846191406,-94.93049621582031,US
Stanford,small_airport,,37.409400939941406,-84.61969757080078,US
Gonzales,heliport,,30.191944,-90.980833,US
Chatham,heliport,,39.66529846191406,-89.70559692382812,US
Crowley,small_airport,,30.136299,-92.429398,US
Federalsburg,small_airport,,38.75709915161133,-75.75379943847656,US
Ludington,heliport,,43.94940185546875,-86.41670227050781,US
Battle Lake,small_airport,,46.29999923706055,-95.70030212402344,US
Alba,small_airport,,37.202800750732,-94.412399291992,US
Livingston,heliport,,45.675,-110.52515,US
Bridgeton,small_airport,,39.473201751708984,-75.1852035522461,US
Louisburg,small_airport,,36.085201263427734,-78.37139892578125,US
New Brunswick,heliport,,40.52090072631836,-74.47460174560547,US
Beekmantown,seaplane_base,,44.8118612,-73.3698057,US
West Bloomfield,small_airport,,42.90010070800781,-77.49970245361328,US
Wauseon,closed,,41.590476,-84.141583,US
Dayton,heliport,,39.745091,-84.187278,US
Sandsprings,small_airport,,36.198598,-96.217693,US
