municipality,type,iata_code,latitude_deg,longitude_deg,iso_country
Aleknagik,medium_airport,WKK,59.2826004028,-158.617996216,US
Khost,medium_airport,KHT,33.284605,69.80734,AF
Honiara,large_airport,HIR,-9.428,160.054993,SB
Munda,medium_airport,MUA,-8.32797,157.263,SB
Ngawa (Hongyuan),medium_airport,AHJ,32.53154,102.35224,CN
Yaren District,medium_airport,INU,-0.547458,166.919006,NR
Zucchelli Station,medium_airport,,-74.739373,164.03539,AQ
Concordia Station,medium_airport,,-75.103278,123.35825,AQ
Vostok Station,medium_airport,,-78.466139,106.84825,AQ
Bayanhot,medium_airport,AXF,38.74831,105.58858,CN
Buka Island,medium_airport,BUA,-5.4223198890686035,154.67300415039062,PG
Kundiawa,medium_airport,CMU,-6.024290084838867,144.9709930419922,PG
Daru,medium_airport,DAU,-9.08675956726,143.207992554,PG
Goronka,medium_airport,GKA,-6.081689834590001,145.391998291,PG
Gurney,medium_airport,GUR,-10.3114995956,150.333999634,PG
Popondetta,medium_airport,PNP,-8.80453968048,148.309005737,PG
Kimbe,medium_airport,HKN,-5.463846,150.407327,PG
Kerema,medium_airport,KMA,-7.96361017227,145.770996094,PG
Kavieng,medium_airport,KVG,-2.57940006256,150.807998657,PG
Madang,medium_airport,MAG,-5.20707988739,145.789001465,PG
Mount Hagen,medium_airport,HGU,-5.828212,144.299412,PG
Mendi,medium_airport,MDU,-6.14774,143.656998,PG
Manus Island,medium_airport,MAS,-2.06189,147.423996,PG
Lae,medium_airport,LAE,-6.569803,146.725977,PG
Port Moresby,large_airport,POM,-9.443380355834961,147.22000122070312,PG
Kokopo,medium_airport,RAB,-4.34046,152.380005,PG
Vanimo,medium_airport,VAI,-2.6926,141.3028,PG
Wapenamanda,medium_airport,WBM,-5.635293,143.892231,PG
Wewak,medium_airport,WWK,-3.58383011818,143.669006348,PG
Baku,medium_airport,ZXT,40.4955422161,49.9768066406,AZ
Fuzuli,medium_airport,FZL,39.594578,47.196128,AZ
Sitalchay,medium_airport,,40.807313,49.431481,AZ
Qizilagach,medium_airport,,39.006162,48.806312,AZ
Benguera Island,medium_airport,BCW,-21.853300094604492,35.43830108642578,MZ
Yambol,medium_airport,JAM,42.4548988342,26.3521995544,BG
Aasiaat,medium_airport,JEG,68.721802,-52.784698,GL
Narsarsuaq,medium_airport,UAK,61.1605,-45.425999,GL
Nuuk,medium_airport,GOH,64.193022,-51.676512,GL
Kulusuk,medium_airport,KUS,65.573601,-37.1236,GL
Kangerlussuaq,medium_airport,SFJ,67.010446,-50.715294,GL
Sisimiut,medium_airport,JHS,66.951302,-53.729301,GL
Pituffik,medium_airport,THU,76.531197,-68.703201,GL
Akureyri,medium_airport,AEY,65.66000366210938,-18.07270050048828,IS
Egilsstaðir,medium_airport,EGS,65.2833023071289,-14.401399612426758,IS
Höfn,medium_airport,HFN,64.295601,-15.2272,IS
Húsavík,medium_airport,HZK,65.952301,-17.426001,IS
Ísafjörður,medium_airport,IFJ,66.05809783935547,-23.135299682617188,IS
Reykjavík,large_airport,KEF,63.985001,-22.6056,IS
Reykjavik,medium_airport,RKV,64.1299972534,-21.9405994415,IS
Siglufjörður,medium_airport,SIJ,66.137847,-18.908157,IS
Vestmannaeyjar,medium_airport,VEY,63.42430114746094,-20.278900146484375,IS
Prishtina,medium_airport,PRN,42.5728,21.035801,XK
Vitória da Conquista,medium_airport,VDC,-14.907885,-40.914804,BR
Betong,medium_airport,BTZ,5.79,101.15,TH
Orsha,medium_airport,TXC,54.439999,30.2967,BY
Kalinovichi,medium_airport,,52.27830123901367,29.360000610351562,BY
Byaroza,medium_airport,,52.5569992065,24.884000778199997,BY
Big Creek,medium_airport,BGK,16.519369,-88.407913,BZ
Caye Caulker,medium_airport,CUK,17.735015,-88.032862,BZ
Caye Chapel,medium_airport,CYC,17.683792,-88.044985,BZ
Corozal,medium_airport,CZH,18.382200241088867,-88.41190338134766,BZ
Dangriga,medium_airport,DGA,16.98251,-88.230988,BZ
Placencia,medium_airport,PLJ,16.536956787109375,-88.36151123046875,BZ
Punta Gorda,medium_airport,PND,16.102399826,-88.80829620360001,BZ
Sartaneja,medium_airport,SJX,18.35610008239746,-88.13079833984375,BZ
San Pedro,medium_airport,SPR,17.9139,-87.9711,BZ
Belize City,medium_airport,TZA,17.517239,-88.195775,BZ
Bazaruto Island,medium_airport,BZB,-21.5411,35.4729,MZ
Bamfield,medium_airport,,48.8206,-125.1193,CA
Anahim Lake,medium_airport,YAA,52.451501,-125.303776,CA
Cache Creek,medium_airport,YZA,50.775258,-121.321314,CA
Bella Bella,medium_airport,ZEL,52.185001,-128.156994,CA
Boma,medium_airport,,-5.80543,12.99582,CD
"Wafangdian, Dalian",medium_airport,,39.669998,121.765999,CN
"Pulandian, Dalian",medium_airport,,39.450901,122.017998,CN
Beijing,medium_airport,,40.149166107177734,116.3213882446289,CN
Beijing,medium_airport,,39.81111145019531,116.70833587646484,CN
Chuxiong (Yuanmou),medium_airport,YUA,25.737499,101.882004,CN
,medium_airport,,41.260799407958984,116.61799621582031,CN
Hohhot,medium_airport,,40.737015,111.229749,CN
Shuozhou,medium_airport,,39.717499,113.142998,CN
Beijing,medium_airport,,39.7578010559082,116.1259994506836,CN
Jinghai,medium_airport,,38.781101,117.068001,CN
Lüliang,medium_airport,,37.407799,111.966003,CN
,medium_airport,,39.37329864501953,117.09500122070312,CN
Yongning,medium_airport,,40.50310134887695,116.10800170898438,CN
Zhangjiakou,medium_airport,ZQZ,40.738602,114.93,CN
Tangshan,medium_airport,,40.102501,117.887001,CN
Chengdu (Qingyang),medium_airport,,30.705299,103.949997,CN
Baoshan (Longyang),medium_airport,BSD,25.053301,99.168297,CN
Chongqing,medium_airport,,29.4953,106.359001,CN
Lincang,medium_airport,LNJ,23.7381,100.025002,CN
Qujing (Luliang),medium_airport,,24.988192,103.642833,CN
Honghe,medium_airport,,23.3953,103.334,CN
Chengdu (Qionglai),medium_airport,,30.49099,103.466139,CN
Xigazê (Samzhubzê),medium_airport,RKZ,29.3519,89.311401,CN
,medium_airport,,23.715599060058594,103.8270034790039,CN
Dali (Xiangyun),medium_airport,,25.445299,100.735001,CN
Panzhihua (Renhe),medium_airport,PZI,26.54,101.79852,CN
Ningming,medium_airport,,22.120481,107.125046,CN
Changsha (Tianxin),medium_airport,,28.068522,112.957306,CN
Yichang (Dangyang),medium_airport,,30.798599,111.809998,CN
Ledong (Da'anzhen),medium_airport,,18.6922,109.161003,CN
Foshan (Nanhai),medium_airport,FUO,23.0833,113.07,CN
Guiping (Guigang),medium_airport,,23.330799,110.009003,CN
Xinyang,medium_airport,XAI,32.540819,114.079141,CN
Huizhou (Pingtan),medium_airport,HUZ,23.049999,114.599998,CN
Lingao (Jialai),medium_airport,,19.697201,109.725998,CN
,medium_airport,,26.587200164794922,112.89199829101562,CN
Lingshui (Huayuan),medium_airport,,18.4944,109.987999,CN
Shangqiu,medium_airport,,34.449507,115.459261,CN
Zhengzhou,medium_airport,,34.86125,113.729631,CN
Shaoguan,medium_airport,HSC,24.9786,113.420998,CN
Zhanjiang (Suixi),medium_airport,,21.3958,110.199997,CN
Ji'an,medium_airport,JGS,26.856899,114.737,CN
Baise (Tianyang),medium_airport,AEB,23.7206,106.959999,CN
"Xintai, Tai'an",medium_airport,,36.000428,117.625833,CN
Xiaogan (Xiaonan),medium_airport,,30.95359,113.911774,CN
Lianyungang,medium_airport,LYG,34.41406,119.17899,CN
Cangzhou,medium_airport,,38.403025,116.930924,CN
Dongying,medium_airport,DOY,37.5085983276,118.788002014,CN
"Jiaozhou, Qingdao",medium_airport,,36.331163,120.025538,CN
Hengshui,medium_airport,,37.491153,116.116726,CN
Kaifeng,medium_airport,,34.75389862060547,114.33899688720703,CN
Yantai,medium_airport,,36.9636,120.591003,CN
Xuchang (Pingdingshan),medium_airport,,33.685434,112.89053,CN
"Xingcheng, Huludao",medium_airport,XEN,40.580328,120.700374,CN
Xuzhou,medium_airport,,34.229285,117.245665,CN
Weifang,medium_airport,,36.027468,119.43778,CN
Altay,medium_airport,AAT,47.749886,88.085808,CN
Baoji (Fengxiang),medium_airport,,34.53125,107.470679,CN
Hainan (Gonghe),medium_airport,,36.3367,100.480003,CN
Huludao,medium_airport,,40.49979,120.659295,CN
Lanzhou (Yuzhong),medium_airport,,35.917801,104.218002,CN
Dingxi (Lintao),medium_airport,,35.3083,103.835999,CN
Jiuquan (Suzhou),medium_airport,,39.554699,98.884201,CN
Tianshui (Maiji),medium_airport,THQ,34.559399,105.860001,CN
Ürümqi,medium_airport,,43.466593,87.531177,CN
"Hoxud, Bayingolin",medium_airport,,42.1814,87.188103,CN
Xianyang (Wugong),medium_airport,,34.275907,108.2658,CN
Ashilixiang,medium_airport,,43.951175,87.079232,CN
Wuwei,medium_airport,,37.9883,102.567001,CN
Xi'an (Huyi),medium_airport,,34.153059,108.599739,CN
Ganzhou,medium_airport,,25.5483,114.619003,CN
"Yizhou, Hami",medium_airport,,43.077202,92.808098,CN
